 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
    55   0.00251166   0.00203138   0.00323031        38.97
    56   0.00267284   0.00220623   0.00346576        39.54
    57   0.00279069   0.00236377   0.00365723        40.27
    58   0.00286385   0.00250090   0.00380212        41.13
    59   0.00289146   0.00261494   0.00389852        42.13
    60   0.00287313   0.00270361   0.00394517        43.26
    61   0.00280895   0.00276501   0.00394151        44.55
    62   0.00269941   0.00279760   0.00388759        46.02
    63   0.00254540   0.00280020   0.00378420        47.73
    64   0.00234813   0.00277196   0.00363283        49.73
    65   0.00210907   0.00271235   0.00343585        52.13
    66   0.00182982   0.00262111   0.00319663        55.08
    67   0.00151216   0.00249828   0.00292028        58.81
    68   0.00115683   0.00234359   0.00261355        63.73
    69   0.00076834   0.00215935   0.00229197        70.41
    70   0.00032831   0.00193441   0.00196207        80.37
    71  -0.00032261   0.00158683   0.00161929       101.49
    72  -0.00102211   0.00120026   0.00157650       130.42
    73  -0.00170311   0.00078568   0.00187560       155.24
    74  -0.00229977   0.00035874   0.00232759       171.13
    75  -0.00267639   0.00004450   0.00267676       179.05
    76  -0.00297550  -0.00025635   0.00298653       184.92
    77  -0.00321798  -0.00055435   0.00326538       189.77
    78  -0.00340051  -0.00084531   0.00350400       193.96
    79  -0.00352405  -0.00112746   0.00370001       197.74
    80  -0.00358878  -0.00139829   0.00385156       201.29
    81  -0.00359530  -0.00165531   0.00395806       204.72
    82  -0.00354457  -0.00189603   0.00401981       208.14
    83  -0.00343796  -0.00211803   0.00403802       211.64
    84  -0.00327730  -0.00231907   0.00401482       215.28
    85  -0.00306489  -0.00249709   0.00395336       219.17
    86  -0.00280346  -0.00265031   0.00385792       223.39
    87  -0.00249615  -0.00277720   0.00373412       228.05
    88  -0.00214642  -0.00287653   0.00358909       233.27
    89  -0.00175797  -0.00294738   0.00343184       239.19
    90  -0.00133451  -0.00298901   0.00327339       245.94
    91  -0.00087974  -0.00300088   0.00312717       253.66
    92  -0.00039544  -0.00298184   0.00300795       262.45
    93   0.00011224  -0.00293211   0.00293426       272.19
    94   0.00067189  -0.00283922   0.00291764       283.31
    95   0.00146299  -0.00266747   0.00304232       -61.26
    96   0.00227628  -0.00244312   0.00333921       -47.02
    97   0.00230542  -0.00304366   0.00381823       -52.86
