 [antenna_chara1.dat]

 >>---------PARA ---------<< ** >>------- Impedance -------- ------<< ** >>------ Max-Direction Gain(dB) ----<< ** >>---- 0(deg)-Gain(dB) ----<<
         para1         para2 **    Zin.re    Zin.im  VSWR-50  VSWR-75 **    Angle       EƒÆ       EƒÓ   EƒÆ+EƒÓ **       EƒÆ       EƒÓ   EƒÆ+EƒÓ
      0.488449      0.046245 **    134.45   -135.94    5.632    3.928 **   30.000     6.030     4.210     8.225 **   -11.321   -13.775    -9.367
      0.488449      0.046245 **    130.62   -135.91    5.647    3.948 **   30.000     5.904     4.551     8.290 **   -11.407   -13.820    -9.437
      0.488449      0.046245 **    126.55   -135.45    5.649    3.960 **   30.000     5.763     4.890     8.359 **   -11.493   -13.884    -9.515
      0.488449      0.046245 **    122.30   -134.48    5.635    3.963 **   30.000     5.604     5.224     8.428 **   -11.577   -13.970    -9.601
      0.488449      0.046245 **    117.93   -132.96    5.602    3.954 **  -30.000     4.135     5.642     7.964 **   -11.659   -14.083    -9.693
      0.488449      0.046245 **    113.52   -130.84    5.547    3.931 **  -30.000     3.867     5.955     8.046 **   -11.733   -14.225    -9.793
      0.488449      0.046245 **    109.17   -128.10    5.465    3.890 **  -30.000     3.577     6.252     8.127 **   -11.798   -14.400    -9.897
      0.488449      0.046245 **    104.99   -124.73    5.353    3.829 **  -30.000     3.269     6.525     8.205 **   -11.849   -14.612   -10.004
      0.488449      0.046245 **    101.07   -120.74    5.209    3.746 **  -30.000     2.952     6.769     8.277 **   -11.882   -14.863   -10.111
      0.488449      0.046245 **     97.53   -116.18    5.033    3.640 **  -30.000     2.639     6.979     8.340 **   -11.893   -15.151   -10.213
      0.488449      0.046245 **     94.45   -111.11    4.825    3.511 **  -30.000     2.348     7.147     8.389 **   -11.880   -15.474   -10.305
      0.488449      0.046245 **     91.92   -105.60    4.591    3.362 **  -30.000     2.102     7.269     8.423 **   -11.842   -15.823   -10.381
      0.488449      0.046245 **     89.99    -99.75    4.336    3.194 **  -30.000     1.925     7.339     8.437 **   -11.781   -16.184   -10.437
      0.488449      0.046245 **     88.71    -93.65    4.070    3.015 **  -29.000     1.843     7.356     8.432 **   -11.700   -16.537   -10.467
      0.488449      0.046245 **     88.09    -87.43    3.802    2.829 **  -29.000     1.846     7.319     8.403 **   -11.605   -16.856   -10.471
      0.488449      0.046245 **     88.13    -81.17    3.543    2.645 **  -29.000     1.940     7.228     8.354 **   -11.502   -17.114   -10.448
      0.488449      0.046245 **     88.81    -74.97    3.302    2.467 **  -29.000     2.110     7.086     8.285 **   -11.397   -17.289   -10.402
      0.488449      0.046245 **     90.07    -68.92    3.087    2.302 **  -29.000     2.334     6.897     8.199 **   -11.297   -17.366   -10.337
      0.488449      0.046245 **     91.88    -63.09    2.904    2.155 **  -29.000     2.589     6.668     8.101 **   -11.204   -17.345   -10.259
      0.488449      0.046245 **     94.18    -57.53    2.754    2.027 **  -29.000     2.857     6.403     7.993 **   -11.123   -17.235   -10.172
      0.488449      0.046245 **     96.90    -52.28    2.639    1.922 **  -29.000     3.121     6.110     7.878 **   -11.054   -17.056   -10.081
      0.488449      0.046245 **     99.98    -47.37    2.557    1.838 **  -29.000     3.373     5.794     7.761 **   -10.999   -16.827    -9.991
      0.488449      0.046245 **    103.35    -42.81    2.507    1.778 **  -29.000     3.606     5.461     7.643 **   -10.957   -16.569    -9.903
      0.488449      0.046245 **    106.98    -38.62    2.483    1.738 **  -29.000     3.819     5.116     7.526 **   -10.928   -16.296    -9.820
      0.488449      0.046245 **    110.79    -34.78    2.483    1.718 **  -29.000     4.009     4.762     7.412 **   -10.909   -16.020    -9.742
      0.488449      0.046245 **    114.76    -31.30    2.502    1.714 **  -29.000     4.179     4.403     7.303 **   -10.902   -15.750    -9.671
      0.488449      0.046245 **    118.83    -28.15    2.536    1.725 **   28.000     4.503     3.833     7.192 **   -10.903   -15.488    -9.606
      0.488449      0.046245 **    122.98    -25.32    2.583    1.746 **   28.000     4.623     3.472     7.096 **   -10.912   -15.239    -9.547
      0.488449      0.046245 **    127.17    -22.80    2.639    1.777 **   28.000     4.731     3.112     7.007 **   -10.929   -15.004    -9.494
      0.488449      0.046245 **    131.39    -20.56    2.703    1.814 **   28.000     4.828     2.755     6.925 **   -10.951   -14.782    -9.447
      0.488449      0.046245 **    135.61    -18.58    2.771    1.856 **   28.000     4.916     2.403     6.849 **   -10.980   -14.573    -9.404
      0.488449      0.046245 **    139.82    -16.86    2.843    1.902 **   28.000     4.994     2.055     6.779 **   -11.013   -14.377    -9.367
      0.488449      0.046245 **    144.00    -15.37    2.917    1.950 **   28.000     5.064     1.712     6.714 **   -11.050   -14.193    -9.333
      0.488449      0.046245 **    148.15    -14.09    2.993    1.999 **   28.000     5.127     1.375     6.654 **   -11.091   -14.020    -9.302
      0.488449      0.046245 **    152.27    -13.00    3.070    2.050 **   28.000     5.183     1.044     6.599 **   -11.135   -13.856    -9.276
      0.488449      0.046245 **    156.33    -12.10    3.148    2.101 **   28.000     5.233     0.719     6.548 **   -11.182   -13.702    -9.252
      0.488449      0.046245 **    160.35    -11.38    3.225    2.152 **   28.000     5.277     0.400     6.500 **   -11.232   -13.556    -9.230
      0.488449      0.046245 **    164.31    -10.81    3.302    2.203 **   28.000     5.317     0.087     6.456 **   -11.285   -13.418    -9.211
