 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     9  -0.00131273  -0.00277212   0.00306723      -115.34
    10  -0.00138094  -0.00283352   0.00315212      -115.98
    11  -0.00142699  -0.00286415   0.00319995      -116.48
    12  -0.00145072  -0.00286286   0.00320945      -116.87
    13  -0.00145224  -0.00282906   0.00318003      -117.17
    14  -0.00143193  -0.00276266   0.00311170      -117.40
    15  -0.00139045  -0.00266406   0.00300508      -117.56
    16  -0.00132870  -0.00253413   0.00286133      -117.67
    17  -0.00124784  -0.00237419   0.00268214      -117.73
    18  -0.00114926  -0.00218599   0.00246969      -117.73
    19  -0.00103457  -0.00197167   0.00222661      -117.69
    20  -0.00090555  -0.00173370   0.00195595      -117.58
    21  -0.00076418  -0.00147492   0.00166113      -117.39
    22  -0.00061259  -0.00119842   0.00134591      -117.07
    23  -0.00045302  -0.00090755   0.00101433      -116.53
    24  -0.00028782  -0.00060585   0.00067074      -115.41
    25  -0.00011940  -0.00029704   0.00032014      -111.90
    26   0.00004977   0.00001510   0.00005201        16.87
    27   0.00021725   0.00032668   0.00039233        56.38
    28   0.00038059   0.00063385   0.00073933        59.02
    29   0.00053740   0.00093275   0.00107649        60.05
    30   0.00068537   0.00121964   0.00139902        60.67
    31   0.00082230   0.00149090   0.00170264        61.12
    32   0.00094612   0.00174309   0.00198330        61.51
    33   0.00105491   0.00197296   0.00223728        61.87
    34   0.00114695   0.00217756   0.00246115        62.22
    35   0.00122069   0.00235417   0.00265183        62.59
    36   0.00127481   0.00250043   0.00280665        62.99
    37   0.00130820   0.00261430   0.00292334        63.42
    38   0.00131997   0.00269407   0.00300006        63.90
    39   0.00130947   0.00273844   0.00303542        64.44
    40   0.00127626   0.00274642   0.00302848        65.08
    41   0.00122011   0.00271742   0.00297876        65.82
    42   0.00114097   0.00265116   0.00288625        66.71
    43   0.00103893   0.00254765   0.00275135        67.81
    44   0.00091424   0.00240728   0.00257504        69.20
    45   0.00076686   0.00223015   0.00235831        71.02
    46   0.00059824   0.00201868   0.00210546        73.49
    47   0.00040105   0.00176335   0.00180838        77.19
    48   0.00016265   0.00145171   0.00146079        83.61
    49  -0.00007852   0.00113198   0.00113470        93.97
    50  -0.00035244   0.00076952   0.00084639       114.61
    51  -0.00062282   0.00039625   0.00073819       147.53
    52  -0.00085288   0.00004643   0.00085414       176.88
    53  -0.00107325  -0.00031461   0.00111842       196.34
    54  -0.00124646  -0.00063307   0.00139801      -153.07
    55  -0.00138248  -0.00092465   0.00166320      -146.22
    56  -0.00148944  -0.00119846   0.00191173      -141.18
    57  -0.00156633  -0.00145081   0.00213501      -137.19
    58  -0.00161383  -0.00168026   0.00232975      -133.84
    59  -0.00163236  -0.00188488   0.00249347      -130.89
    60  -0.00162261  -0.00206289   0.00262457      -128.19
    61  -0.00158547  -0.00221266   0.00272205      -125.62
    62  -0.00152208  -0.00233279   0.00278543      -123.12
    63  -0.00143383  -0.00242213   0.00281471      -120.62
    64  -0.00132236  -0.00247983   0.00281038      -118.07
    65  -0.00118957  -0.00250538   0.00277345      -115.40
    66  -0.00103758  -0.00249861   0.00270548      -112.55
    67  -0.00086873  -0.00245969   0.00260860      -109.45
    68  -0.00068556  -0.00238920   0.00248561      -106.01
    69  -0.00049076  -0.00228805   0.00234009      -102.11
    70  -0.00028716  -0.00215752   0.00217655       -97.58
    71  -0.00007770  -0.00199926   0.00200077       -92.23
    72   0.00013462  -0.00181522   0.00182021       -85.76
    73   0.00034678  -0.00160768   0.00164466       -77.83
    74   0.00055575  -0.00137920   0.00148696       -68.05
    75   0.00075854  -0.00113259   0.00136314       -56.19
    76   0.00095227  -0.00087088   0.00129044       -42.44
    77   0.00113413  -0.00059728   0.00128180       -27.77
    78   0.00130150  -0.00031515   0.00133911       -13.61
    79   0.00145192  -0.00002794   0.00145219        -1.10
    80   0.00158315   0.00026083   0.00160449         9.36
    81   0.00169317   0.00054765   0.00177954        17.92
    82   0.00178026   0.00082903   0.00196383        24.97
    83   0.00184295   0.00110154   0.00214706        30.87
    84   0.00188006   0.00136191   0.00232152        35.92
    85   0.00189076   0.00160701   0.00248142        40.36
    86   0.00187448   0.00183391   0.00262238        44.37
    87   0.00183102   0.00203993   0.00274116        48.09
    88   0.00176045   0.00222268   0.00283540        51.62
    89   0.00166316   0.00238004   0.00290357        55.05
    90   0.00153980   0.00251023   0.00294486        58.47
    91   0.00139126   0.00261175   0.00295920        61.96
    92   0.00121864   0.00268343   0.00294718        65.58
    93   0.00102312   0.00272426   0.00291005        69.42
    94   0.00080596   0.00273342   0.00284976        73.57
    95   0.00056763   0.00270955   0.00276837        78.17
    96   0.00031060   0.00265232   0.00267045        83.32
    97   0.00002272   0.00255182   0.00255192        89.49
    98  -0.00030910   0.00240521   0.00242499        97.32
    99  -0.00062933   0.00224103   0.00232772       105.69
   100  -0.00098332   0.00202766   0.00225352       115.87
   101   0.00131760  -0.00179792   0.00222903       -53.76
   102   0.00158737  -0.00158122   0.00224054       -44.89
   103   0.00178049  -0.00141118   0.00227191       -38.40
   104   0.00067058   0.00208752   0.00219258        72.19
   105   0.00083532   0.00226457   0.00241371        69.75
   106   0.00098192   0.00242354   0.00261490        67.94
   107   0.00111221   0.00256448   0.00279527        66.55
   108   0.00122286   0.00268164   0.00294730        65.49
   109   0.00131273   0.00277212   0.00306723        64.66
   110   0.00138094   0.00283352   0.00315212        64.02
   111   0.00142699   0.00286415   0.00319995        63.52
   112   0.00145072   0.00286286   0.00320945        63.13
   113   0.00145224   0.00282906   0.00318003        62.83
   114   0.00143193   0.00276266   0.00311170        62.60
   115   0.00139045   0.00266406   0.00300508        62.44
   116   0.00132870   0.00253413   0.00286133        62.33
   117   0.00124784   0.00237419   0.00268214        62.27
   118   0.00114926   0.00218599   0.00246969        62.27
   119   0.00103457   0.00197167   0.00222661        62.31
   120   0.00090555   0.00173370   0.00195595        62.42
   121   0.00076418   0.00147492   0.00166113        62.61
   122   0.00061259   0.00119842   0.00134591        62.93
   123   0.00045302   0.00090755   0.00101433        63.47
   124   0.00028782   0.00060585   0.00067074        64.59
   125   0.00011940   0.00029704   0.00032014        68.10
   126  -0.00004977  -0.00001510   0.00005201       196.87
   127  -0.00021725  -0.00032668   0.00039233       236.38
   128  -0.00038059  -0.00063385   0.00073933       239.02
   129  -0.00053740  -0.00093275   0.00107649       240.05
   130  -0.00068537  -0.00121964   0.00139902       240.67
   131  -0.00082230  -0.00149090   0.00170264       241.12
   132  -0.00094612  -0.00174309   0.00198330       241.51
   133  -0.00105491  -0.00197296   0.00223728       241.87
   134  -0.00114695  -0.00217756   0.00246115       242.22
   135  -0.00122069  -0.00235417   0.00265183       242.59
   136  -0.00127481  -0.00250043   0.00280665       242.99
   137  -0.00130820  -0.00261430   0.00292334       243.42
   138  -0.00131997  -0.00269407   0.00300006       243.90
   139  -0.00130947  -0.00273844   0.00303542       244.44
   140  -0.00127626  -0.00274642   0.00302848       245.08
   141  -0.00122011  -0.00271742   0.00297876       245.82
   142  -0.00114097  -0.00265116   0.00288625       246.71
   143  -0.00103893  -0.00254765   0.00275135       247.81
   144  -0.00091424  -0.00240728   0.00257504       249.20
   145  -0.00076686  -0.00223015   0.00235831       251.02
   146  -0.00059824  -0.00201868   0.00210546       253.49
   147  -0.00040105  -0.00176335   0.00180838       257.19
   148  -0.00016265  -0.00145171   0.00146079       -96.39
   149   0.00007852  -0.00113198   0.00113470       -86.03
   150   0.00035244  -0.00076952   0.00084639       -65.39
   151   0.00062282  -0.00039625   0.00073819       -32.47
   152   0.00085288  -0.00004643   0.00085414        -3.12
   153   0.00107325   0.00031461   0.00111842        16.34
   154   0.00124646   0.00063307   0.00139801        26.93
   155   0.00138248   0.00092465   0.00166320        33.78
   156   0.00148944   0.00119846   0.00191173        38.82
