 [antenna_chara2.dat]

 >>------------------PARA ---------------<< ** >>------- Impedance -------- ------<< ** >>-------    Max Direction Gain&AR(dB) -----<< ** >>------  0(deg) Gain&AR(dB)  -----<<
         para1         para2          para3          para4          para5          para6          para7  **    Zin.re    Zin.im  VSWR-50  VSWR-75 **      Angle        Er        El       Er+El      AR **         Er         El        Er+El       AR
      0.488449      0.046245      0.250000      0.094677      1.013000      2.030416      0.442204 **     88.81    -74.97    3.302    2.467 **   32.000     6.895     3.253     8.456  13.694 **   -11.158   -18.367   -10.402   8.119
      0.488449      0.046245      0.250000      0.094677      1.014000      2.030416      0.442204 **     90.07    -68.92    3.087    2.302 **   32.000     6.501     3.698     8.332  15.921 **   -11.177   -17.885   -10.337   8.683
      0.488449      0.046245      0.250000      0.094677      1.015000      2.030416      0.442204 **     91.88    -63.09    2.904    2.155 **   32.000     6.083     4.060     8.198  18.719 **   -11.179   -17.451   -10.259   9.215
      0.488449      0.046245      0.250000      0.094677      1.016000      2.030416      0.442204 **     94.18    -57.53    2.754    2.027 **   32.000     5.649     4.350     8.058  22.538 **   -11.164   -17.070   -10.172   9.698
      0.488449      0.046245      0.250000      0.094677      1.017000      2.030416      0.442204 **     96.90    -52.28    2.639    1.922 **  -33.000     3.933     5.468     7.778  21.097 **   -11.137   -16.740   -10.081  10.123
      0.488449      0.046245      0.250000      0.094677      1.018000      2.030416      0.442204 **     99.98    -47.37    2.557    1.838 **  -33.000     3.473     5.585     7.666  18.345 **   -11.101   -16.458    -9.991  10.487
      0.488449      0.046245      0.250000      0.094677      1.019000      2.030416      0.442204 **    103.35    -42.81    2.507    1.778 **  -33.000     3.029     5.664     7.554  16.448 **   -11.058   -16.220    -9.903  10.791
      0.488449      0.046245      0.250000      0.094677      1.020000      2.030416      0.442204 **    106.98    -38.62    2.483    1.738 **  -33.000     2.610     5.712     7.442  15.055 **   -11.011   -16.020    -9.820  11.039
      0.488449      0.046245      0.250000      0.094677      1.021000      2.030416      0.442204 **    110.79    -34.78    2.483    1.718 **  -33.000     2.220     5.734     7.334  13.998 **   -10.962   -15.853    -9.742  11.235
      0.488449      0.046245      0.250000      0.094677      1.022000      2.030416      0.442204 **    114.76    -31.30    2.502    1.714 **  -33.000     1.864     5.736     7.229  13.181 **   -10.913   -15.714    -9.671  11.387
      0.488449      0.046245      0.250000      0.094677      1.023000      2.030416      0.442204 **    118.83    -28.15    2.536    1.725 **  -33.000     1.546     5.722     7.128  12.547 **   -10.865   -15.600    -9.606  11.501
      0.488449      0.046245      0.250000      0.094677      1.024000      2.030416      0.442204 **    122.98    -25.32    2.583    1.746 **  -33.000     1.265     5.694     7.032  12.055 **   -10.817   -15.507    -9.547  11.582
      0.488449      0.046245      0.250000      0.094677      1.025000      2.030416      0.442204 **    127.17    -22.80    2.639    1.777 **  -33.000     1.021     5.657     6.940  11.678 **   -10.772   -15.431    -9.494  11.637
      0.488449      0.046245      0.250000      0.094677      1.026000      2.030416      0.442204 **    131.39    -20.56    2.703    1.814 **  -33.000     0.814     5.611     6.854  11.395 **   -10.730   -15.370    -9.447  11.669
      0.488449      0.046245      0.250000      0.094677      1.027000      2.030416      0.442204 **    135.61    -18.58    2.771    1.856 **  -33.000     0.640     5.559     6.772  11.188 **   -10.689   -15.321    -9.404  11.684
      0.488449      0.046245      0.250000      0.094677      1.028000      2.030416      0.442204 **    139.82    -16.86    2.843    1.902 **  -33.000     0.498     5.502     6.694  11.045 **   -10.651   -15.283    -9.367  11.684
